dirs,phase,timepoint,phase_timepoint,is_duplicated
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTII/wk10,GTII,wk10,GTII_wk10,FALSE
Missing,GTII,wk3,GTII_wk3,FALSE
/media//gmobot/Elements/GWAS_Transformation/GTII/wk5,GTII,wk5,GTII_wk5,FALSE
/media//gmobot/Elements/GWAS_Transformation/GTII/wk7,GTII,wk7,GTII_wk7,FALSE
Missing,GTIII,wk10,GTIII_wk10,FALSE
/media//gmobot/MyBook_16/MyBook_16/GWAS_Transformation/GTIII/wk3,GTIII,wk3,GTIII_wk3,FALSE
Missing,GTIII,wk7,GTIII_wk7,FALSE
/media//gmobot/Elements_12/Elements_12/GWAS_Transformation/GTJ/wk10,GTJ,wk10,GTJ_wk10,FALSE
/media//gmobot/Elements_10/GWAS_Transformation/GTJ/wk3,GTJ,wk3,GTJ_wk3,FALSE
/media//gmobot/Elements_11/GWAS_Transformation/GTJ/wk7,GTJ,wk7,GTJ_wk7,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTJJ/wk10,GTJJ,wk10,GTJJ_wk10,FALSE
Missing,GTJJ,wk3,GTJJ_wk3,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTJJ/wk4,GTJJ,wk4,GTJJ_wk4,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTJJ/wk7,GTJJ,wk7,GTJJ_wk7,FALSE
Missing,GTJJJ,wk10,GTJJJ_wk10,FALSE
/media//gmobot/MyBook_16/MyBook_16/GWAS_Transformation/GTJJJ/wk3,GTJJJ,wk3,GTJJJ_wk3,FALSE
Missing,GTJJJ,wk7,GTJJJ_wk7,FALSE
/media//gmobot/Elements_12/Elements_12/GWAS_Transformation/GTK/wk10,GTK,wk10,GTK_wk10,FALSE
/media//gmobot/Elements_10/GWAS_Transformation/GTK/wk3,GTK,wk3,GTK_wk3,FALSE
/media//gmobot/Elements_12/Elements_12/GWAS_Transformation/GTK/wk7,GTK,wk7,GTK_wk7,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTKK/wk10,GTKK,wk10,GTKK_wk10,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTKK/wk3,GTKK,wk3,GTKK_wk3,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTKK/wk7,GTKK,wk7,GTKK_wk7,FALSE
/media//gmobot/Elements_12/Elements_12/GWAS_Transformation/GTL/wk10,GTL,wk10,GTL_wk10,FALSE
/media//gmobot/Elements_11/GWAS_Transformation/GTL/wk3,GTL,wk3,GTL_wk3,FALSE
/media//gmobot/Elements_12/Elements_12/GWAS_Transformation/GTL/wk7,GTL,wk7,GTL_wk7,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTLL/wk10,GTLL,wk10,GTLL_wk10,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTLL/wk3,GTLL,wk3,GTLL_wk3,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTLL/wk7,GTLL,wk7,GTLL_wk7,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTM/wk10,GTM,wk10,GTM_wk10,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTM/wk10,GTM,wk10,GTM_wk10,TRUE
/media//gmobot/Elements_11/GWAS_Transformation/GTM/wk3,GTM,wk3,GTM_wk3,FALSE
/media//gmobot/Elements_12/Elements_12/GWAS_Transformation/GTM/wk7,GTM,wk7,GTM_wk7,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTMM/wk10,GTMM,wk10,GTMM_wk10,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTMM/wk3,GTMM,wk3,GTMM_wk3,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTMM/wk7,GTMM,wk7,GTMM_wk7,FALSE
/media//gmobot/Seagate Portable Drive/GWAS_Transformation/GTMM/wk7,GTMM,wk7,GTMM_wk7,TRUE
/media//gmobot/easystore/GWAS_Transformation/GTN/wk10,GTN,wk10,GTN_wk10,FALSE
/media//gmobot/Seagate Portable Drive/GWAS_Transformation/GTN/wk10,GTN,wk10,GTN_wk10,TRUE
/media//gmobot/Elements_11/GWAS_Transformation/GTN/wk3,GTN,wk3,GTN_wk3,FALSE
/media//gmobot/Elements_12/Elements_12/GWAS_Transformation/GTN/wk7,GTN,wk7,GTN_wk7,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTNN/wk10,GTNN,wk10,GTNN_wk10,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTNN/wk3,GTNN,wk3,GTNN_wk3,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTNN/wk7,GTNN,wk7,GTNN_wk7,FALSE
/media//gmobot/Seagate Portable Drive/GWAS_Transformation/GTO/wk10,GTO,wk10,GTO_wk10,FALSE
/media//gmobot/Elements_12/Elements_12/GWAS_Transformation/GTO/wk3,GTO,wk3,GTO_wk3,FALSE
/media//gmobot/Seagate Portable Drive/GWAS_Transformation/GTO/wk7,GTO,wk7,GTO_wk7,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTOO/wk10,GTOO,wk10,GTOO_wk10,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTOO/wk3,GTOO,wk3,GTOO_wk3,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTOO/wk7,GTOO,wk7,GTOO_wk7,FALSE
/media//gmobot/New Volume/GWAS_Transformation/GTP/wk10,GTP,wk10,GTP_wk10,FALSE
/media//gmobot/Seagate Portable Drive/GWAS_Transformation/GTP/wk10,GTP,wk10,GTP_wk10,TRUE
/media//gmobot/Elements_12/Elements_12/GWAS_Transformation/GTP/wk3,GTP,wk3,GTP_wk3,FALSE
/media//gmobot/Seagate Portable Drive/GWAS_Transformation/GTP/wk7,GTP,wk7,GTP_wk7,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTPP/wk10,GTPP,wk10,GTPP_wk10,FALSE
